brand,breadcrumbs,colour,description,image_url,price,product_id,product_name,reviews,sizes,sku
,,,,//carbon38.com/cdn/shop/products/CARB-CRB20301-NAVY-Long-RacerBack-Tank-color-NAVY-blazer_2430.jpg?v=1680561172&width=1000,,,Long RacerBack Tank,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6028-BLK-23FAL-Long-Sleeve-Off-Shoulder-Tee-color-Black_42663.jpg?v=1692658977&width=1000,,,Long Sleeve Off Shoulder Tee,,,
,,,,//carbon38.com/cdn/shop/files/GLDBRYD-GBOW1-S24-IVRYOFFWHI-Crop-Blazer-color-Cream_3842-Edit.jpg?v=1721787135&width=1000,,,Bouclé Cropped Blazer,,,
,,,,//carbon38.com/cdn/shop/files/LTSP-T070-WHTGRNDRK-Mesh-Zip-Performance-Polo-color-White-with-Green-Trim_1057-Edit.jpg?v=1710535707&width=1000,,,Mesh Zip Performance Polo,,,
,,,,//carbon38.com/cdn/shop/files/THEU-USW424139-REDREDDRK-Keystone-Blanche-Half-Zip-color-Red_0830-Edit.jpg?v=1730160741&width=1000,,,Keystone Blanche Half Zip,,,
,,,,//carbon38.com/cdn/shop/files/MDLT-RE25T08-IVRYOFFWHI-Delilah-Top-color-Cream_9832-Edit.jpg?v=1736544048&width=1000,,,Delilah Top,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD694-GREY-23SM-Short-Sleeve-Off-Shoulder-Sweatshirt-in-french-terry-color-Heather-Grey_0596.jpg?v=1685645037&width=1000,,,Short Sleeve Off Shoulder Sweatshirt in French Terry,,,
,,,,//carbon38.com/cdn/shop/files/PORT-TOP-BDY-0001-REDREDMED-GIO-WAVE-TOP-color-Burgundy-Chantilly_3987-Edit.jpg?v=1733788337&width=1000,,,Gio Wave Top,,,
,,,,//carbon38.com/cdn/shop/files/THEU-USW424024-BLUEBLUDRK-Clementine-Knit-Crew-color-Navy_29229-Edit.jpg?v=1729806787&width=1000,,,Clementine Knit Crew,,,
,,,,//carbon38.com/cdn/shop/files/MDLT-RE25T15-BLKBLK-Tamion-Top-color-Black-Cream_28775-Edit.jpg?v=1729805454&width=1000,,,Tamino Cashmere Top,,,
,,,,//carbon38.com/cdn/shop/files/PORT-TOP-CHO-0009-BRWNBRWN-LAUREN-TOP-color-Dark-Chocolate_4071-Edit.jpg?v=1733788613&width=1000,,,Lauren Top,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6126-GREY-24HOL-Mesh-Long-Sleeve-Top-color-Grey-Mesh_5930-Edit.jpg?v=1733791059&width=1000,,,Silver Mesh Long Sleeve Top,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD338-WHT-23FAL-Strappy-Tank-in-Melt-color-White_4253.jpg?v=1689018058&width=1000,,,Strappy Tank in Melt,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6066-BLUE-24SS-Oversized-Off-Shoulder-Sweater-color-off-white-navy-Stripe_0014-Edit.jpg?v=1715792179&width=1000,,,Slouchy Knit Sweater,,,
,,,,//carbon38.com/cdn/shop/files/BND10197-WHITE-BANDIER-1_4.jpg?v=1726526731&width=1000,,,Featherweight Tank,,,
,,,,//carbon38.com/cdn/shop/files/THEU-USW424108-IVRYOFFWHI-Pascal-Collared-Crew-color-Natural_0670-Edit.jpg?v=1730160460&width=1000,,,Pascal Collared Crew,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD338-LOTUS-24SM-Strappy-Tank-in-Melt-color-Lotus_64869-Edit.jpg?v=1712962409&width=1000,,,Strappy Tank in Melt,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD338-BLUE-23FAL-Strappy-Tank-in-Melt-color-Navy-Blazer_3169.jpg?v=1689018986&width=1000,,,Strappy Tank in Melt,,,
,,,,//carbon38.com/cdn/shop/files/BW202204-BLACK-1_2.jpg?v=1726265441&width=1000,,,Rivington Ribbed Long Sleeve Scoop Neck Crop Top,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6072B-BLK-24HOL-Mesh-Tee-Shirt-color-Black_5862-Edit.jpg?v=1733790657&width=1000,,,Liquid Mesh Tee Shirt,,,
,,,,//carbon38.com/cdn/shop/products/JONAS-4218010ST-BLKBLK-harleen-eco-slinky-jersey-twist-front-bodysuit-Color-BLACK_631aa4c4-3f9d-4725-bdda-15b9c5dfea2f.jpg?v=1661380455&width=1000,,,Harleen Eco Slinky Jersey Twist Front Bodysuit,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6072B-PONDPNE-24HOL-Mesh-Tee-Shirt-color-Ponderosa-Pine_6085-Edit.jpg?v=1733790878&width=1000,,,Liquid Mesh Tee Shirt,,,
,,,,//carbon38.com/cdn/shop/products/CARB-YD693-PNK-22HOL-COLORBLOCK-RUN-TOP-in-melt-color-FUCHSIA-PURPLE-CAYENNE_11.jpg?v=1679937035&width=1000,,,Colorblock Run Top in Melt,,,
